unique_id|game_id|play_id|week|x_1|y_1|x_2|y_2|event|play_description|quarter|down|yards_to_go|possession_team|yardline_side|yardline_number|game_clock|absolute_yardline_number|pass_result|offense_play_result|play_result
2018090912_1985|2018090912|1985|1|70.87|29.74|81.08|-1.35|out_of_bounds|(12:29) (Shotgun) M.Trubisky pass short middle to T.Cohen pushed ob at GB 30 for 9 yards (K.Brice).|3|3|9|CHI|GB|39|12:29:00|71|C|9|9
2018090912_2030|2018090912|2030|1|87.73|26.38|94.54|1.95|tackle|(11:26) M.Trubisky pass short right to M.Burton to GB 16 for 6 yards (H.Clinton-Dix).|3|2|2|CHI|GB|22|11:26:00|88|C|6|6
2018090912_2080|2018090912|2080|1|93.99|23.62|93.82|0.5|tackle|(10:13) (Shotgun) M.Trubisky pass short right to J.Howard to GB 15 for 1 yard (B.Martinez).|3|2|10|CHI|GB|16|10:13:00|94|C|1|1
2018090912_2115|2018090912|2115|1|94.95|23.6|120.41|58.36|pass_outcome_incomplete|(9:26) (Shotgun) M.Trubisky pass incomplete short left.|3|3|9|CHI|GB|15|09:26:00|95|I|0|0
2018090912_242|2018090912|242|1|34.83|29.69|42.68|53.28|out_of_bounds|(12:03) (Shotgun) M.Trubisky pass short left to T.Cohen pushed ob at CHI 33 for 8 yards (T.Williams).|1|1|10|CHI|CHI|25|12:03:00|85|C|8|8
2018090912_2495|2018090912|2495|1|34.54|29.89|34.36|47.88|tackle|(3:37) (Shotgun) M.Trubisky pass short left to T.Cohen to CHI 24 for -1 yards (J.Jackson).|3|1|10|CHI|CHI|25|03:37:00|35|C|-1|-1
2018090912_2519|2018090912|2519|1|34.01|29.88|31.03|21.42|pass_outcome_incomplete|(2:53) M.Trubisky pass incomplete short middle.|3|2|11|CHI|CHI|24|02:53:00|34|I|0|0
2018090912_266|2018090912|266|1|41.87|29.19|42.88|14.17|tackle|(11:32) (Shotgun) M.Trubisky pass short right to T.Gabriel to CHI 33 for no gain (C.Matthews).|1|2|2|CHI|CHI|33|11:32:00|77|C|0|0
2018090912_2868|2018090912|2868|1|42.91|23.92|40.86|37.92|tackle|(12:46) M.Trubisky pass short left to D.Sims to CHI 34 for no gain (H.Clinton-Dix).|4|3|1|CHI|CHI|34|12:46:00|76|C|0|0
2018090912_3081|2018090912|3081|1|34.1|23.47|42.16|-0.81|out_of_bounds|(9:01) (Shotgun) M.Trubisky pass short right to J.Howard pushed ob at CHI 32 for 7 yards (K.Brice).|4|1|10|CHI|CHI|25|09:01:00|85|C|7|7
2018090912_3105|2018090912|3105|1|40.97|23.43|41.06|40.46|qb_sack|(8:29) (Shotgun) M.Trubisky sacked at CHI 32 for 0 yards (M.Daniels).|4|2|3|CHI|CHI|32|08:29:00|78|S|0|0
2018090912_316|2018090912|316|1|53.82|23.53|83.93|1.63|tackle|(10:12) M.Trubisky pass deep right to T.Gabriel to GB 25 for 31 yards (A.Morrison).|1|1|10|CHI|CHI|44|10:12:00|66|C|31|31
2018090912_3271|2018090912|3271|1|59.4|27|68.07|7.95|tackle|(3:28) (Shotgun) M.Trubisky pass short right to A.Miller to GB 38 for 11 yards (K.Brice).|4|3|7|CHI|GB|49|03:28:00|59|C|11|11
2018090912_3464|2018090912|3464|1|95.21|29.56|103.73|13.52|pass_outcome_incomplete|(2:47) (Shotgun) M.Trubisky pass incomplete short middle to A.Miller.|4|3|2|CHI|GB|14|02:47:00|24|I|0|0
2018090912_3674|2018090912|3674|1|21.68|29.64|28.97|54.1|out_of_bounds|(1:59) (Shotgun) M.Trubisky pass short left to J.Howard pushed ob at CHI 19 for 6 yards (T.Williams).|4|1|15|CHI|CHI|13|01:59:00|97|C|6|6
2018090912_3704|2018090912|3704|1|27.94|29.65|53.64|-3.08|pass_outcome_incomplete|(1:54) (Shotgun) M.Trubisky pass incomplete deep right to A.Robinson II.|4|2|9|CHI|CHI|19|01:54:00|91|I|0|0
2018090912_3726|2018090912|3726|1|27.4|29.66|43.76|42.76|pass_outcome_incomplete|(1:50) (Shotgun) M.Trubisky pass incomplete short left to T.Burton.|4|3|9|CHI|CHI|19|01:50:00|91|I|0|0
2018090912_3748|2018090912|3748|1|27.78|29.82|58.35|44.7|pass_outcome_incomplete|(1:46) (Shotgun) M.Trubisky pass incomplete deep left to T.Gabriel (J.Alexander) [C.Matthews]. PENALTY on GB-C.Matthews, Roughing the Passer, 15 yards, enforced at CHI 19 - No Play.|4|4|9|CHI|CHI|19|NA|NA|I|0|15
2018090912_3781|2018090912|3781|1|42.31|29.62|56.39|30.65|tackle|(1:39) (Shotgun) M.Trubisky pass short middle to A.Robinson II to CHI 46 for 12 yards (H.Clinton-Dix).|4|1|10|CHI|CHI|34|01:39:00|76|C|12|12
2018090912_3805|2018090912|3805|1|55.53|29.72|62.03|53.77|pass_outcome_incomplete|(1:18) (No Huddle, Shotgun) M.Trubisky pass incomplete short left to T.Cohen.|4|1|10|CHI|CHI|46|01:18:00|64|I|0|0
2018090912_3827|2018090912|3827|1|55.83|29.69|81.79|-1.45|pass_outcome_incomplete|(1:15) (Shotgun) M.Trubisky pass incomplete deep right to A.Robinson II.|4|2|10|CHI|CHI|46|01:15:00|64|I|0|0
2018090912_3849|2018090912|3849|1|55.15|29.47|65.49|28.08|pass_outcome_incomplete|(1:10) (Shotgun) M.Trubisky pass incomplete short middle to T.Burton.|4|3|10|CHI|CHI|46|01:10:00|64|I|0|0
2018090912_3871|2018090912|3871|1|54.98|29.33|51.23|20.78|tackle|(1:06) (Shotgun) M.Trubisky sacked at CHI 38 for -8 yards (N.Perry). FUMBLES (N.Perry) [N.Perry], RECOVERED by GB-K.Clark at CHI 39. K.Clark to CHI 39 for no gain (K.Long).|4|4|10|CHI|CHI|46|01:06:00|64|S|-7|-7
2018090912_402|2018090912|402|1|92.01|26.95|105.51|2.71|tackle|(7:57) (Shotgun) M.Trubisky pass short right to T.Burton to GB 2 for 15 yards (K.Brice).|1|3|2|CHI|GB|17|07:57:00|27|C|15|15
2018090912_629|2018090912|629|1|43.87|29.37|76.36|2.97|tackle|(3:32) (Shotgun) M.Trubisky pass deep right to A.Robinson II to GB 33 for 33 yards (J.Alexander).|1|2|8|CHI|CHI|34|03:32:00|76|C|33|33
2018090912_653|2018090912|653|1|77.06|23.33|76.9|-1.14|qb_sack|(2:49) M.Trubisky sacked ob at GB 33 for 0 yards (K.Brice).|1|1|10|CHI|GB|33|02:49:00|43|S|0|0
2018090912_697|2018090912|697|1|82.46|26.79|96.08|23.72|tackle|(1:27) (Shotgun) M.Trubisky pass short middle to A.Robinson II to GB 14 for 13 yards (J.Jackson) [N.Perry]. PENALTY on GB-N.Perry, Roughing the Passer, 7 yards, enforced at GB 14.|1|3|4|CHI|GB|27|01:27:00|37|C|13|20
2018090912_732|2018090912|732|1|102.52|23.32|107.32|-0.94|out_of_bounds|(1:00) (Shotgun) M.Trubisky pass short right to J.Howard pushed ob at GB 3 for 4 yards (K.King).|1|1|7|CHI|GB|7|01:00:00|17|C|4|4
2018090912_756|2018090912|756|1|106.99|23.52|121.09|-3.08|pass_outcome_incomplete|(:20) M.Trubisky pass incomplete short right to A.Robinson II.|1|2|3|CHI|GB|3|00:20:00|13|I|0|0
2018090912_795|2018090912|795|1|107.18|23.5|102.41|34.65|tackle|(:16) (Shotgun) M.Trubisky pass short left to T.Gabriel to GB 8 for -5 yards (B.Martinez).|1|3|3|CHI|GB|3|00:16:00|13|C|-5|-5
2018090912_983|2018090912|983|1|30.69|23.91|34.19|33.72|tackle|(12:08) (Shotgun) M.Trubisky pass short left to A.Robinson II to CHI 24 for 3 yards (K.Brice).|2|2|4|CHI|CHI|21|12:08:00|31|C|3|3
2018091700_1147|2018091700|1147|2|47.26|23.97|85.7|0.73|tackle|(11:59) (Shotgun) M.Trubisky pass deep right intended for A.Robinson II INTERCEPTED by SL.Griffin at SEA 24. SL.Griffin to SEA 24 for no gain (A.Robinson II).|2|1|10|CHI|CHI|38|11:59:00|48|IN|0|0
2018091700_1319|2018091700|1319|2|36.85|23.99|45.9|39.42|tackle|(10:23) M.Trubisky pass short left to T.Gabriel to CHI 36 for 9 yards (A.King).|2|1|16|CHI|CHI|27|10:23:00|37|C|9|9
2018091700_1343|2018091700|1343|2|44.62|30.06|47.75|14.34|pass_outcome_incomplete|(9:53) (No Huddle, Shotgun) M.Trubisky pass incomplete short right to A.Robinson II (M.Kendricks).|2|2|7|CHI|CHI|36|09:53:00|46|I|0|0
2018091700_1365|2018091700|1365|2|44.49|29.9|53.6|22.41|tackle|(9:48) (Shotgun) M.Trubisky pass short middle to A.Robinson II to CHI 44 for 8 yards (SL.Griffin).|2|3|7|CHI|CHI|36|09:48:00|46|C|8|8
2018091700_1389|2018091700|1389|2|53.88|24.08|56.37|18.38|tackle|(9:05) (Shotgun) M.Trubisky pass short right intended for A.Robinson II INTERCEPTED by SL.Griffin (B.McDougald) at SEA 49. SL.Griffin to CHI 43 for 8 yards (C.Whitehair).|2|1|10|CHI|CHI|44|09:05:00|54|IN|0|0
2018091700_1567|2018091700|1567|2|60.27|24.16|78.05|0.46|out_of_bounds|(5:51) (Shotgun) M.Trubisky pass short right to T.Cohen ran ob at SEA 32 for 17 yards.|2|2|8|CHI|SEA|49|05:51:00|61|C|17|17
2018091700_1617|2018091700|1617|2|73.56|23.87|82.96|53.29|out_of_bounds|(4:36) (Shotgun) M.Trubisky pass short left to A.Robinson II pushed ob at SEA 27 for 8 yards (A.King).|2|2|13|CHI|SEA|35|04:36:00|75|C|8|8
2018091700_1663|2018091700|1663|2|82.86|30|87.67|46.46|tackle|(4:14) (Shotgun) M.Trubisky pass short middle to A.Robinson II to SEA 22 for 5 yards (E.Thomas; J.Coleman).|2|3|5|CHI|SEA|27|04:14:00|83|C|5|5
2018091700_1708|2018091700|1708|2|90.69|26.43|96.79|22.58|tackle|(2:44) (Shotgun) M.Trubisky pass short middle to T.Gabriel to SEA 13 for 6 yards (A.King).|2|2|7|CHI|SEA|19|02:44:00|91|C|6|6
2018091700_1810|2018091700|1810|2|102.15|26.48|113.21|0.46|pass_outcome_incomplete|(1:25) (No Huddle, Shotgun) M.Trubisky pass incomplete short right to A.Miller.|2|2|6|CHI|SEA|7|01:25:00|103|I|0|0
2018091700_1832|2018091700|1832|2|102.62|27.09|109.66|49.98|pass_outcome_incomplete|(1:18) (Shotgun) M.Trubisky pass incomplete short left to T.Gabriel (J.Coleman).|2|3|6|CHI|SEA|7|01:18:00|103|I|0|0
2018091700_2162|2018091700|2162|2|32.79|29.52|48.9|2.43|tackle|(15:00) (Shotgun) M.Trubisky pass short right to A.Robinson II to CHI 39 for 14 yards (A.Calitro).|3|1|10|CHI|CHI|25|15:00:00|85|C|14|14
2018091700_2242|2018091700|2242|2|45.17|23.51|49.21|12.56|tackle|(13:04) (Shotgun) M.Trubisky pass short right to A.Robinson II to CHI 43 for 7 yards (SL.Griffin).|3|2|13|CHI|CHI|36|13:04:00|74|C|7|7
2018091700_2267|2018091700|2267|2|52.89|23.49|40.48|28.07|qb_sack|(12:23) (Shotgun) M.Trubisky sacked at CHI 31 for -12 yards (M.Kendricks).|3|3|6|CHI|CHI|43|12:23:00|67|S|-12|-12
2018091700_2443|2018091700|2443|2|32|29.53|35.76|38.11|tackle|(10:39) (Shotgun) M.Trubisky pass short left to T.Burton to CHI 26 for 3 yards (E.Thomas).|3|1|10|CHI|CHI|23|10:39:00|87|C|3|3
2018091700_2467|2018091700|2467|2|35.54|29.36|42.63|52.84|out_of_bounds|(10:04) (Shotgun) M.Trubisky pass short left to A.Robinson II pushed ob at CHI 33 for 7 yards (A.King).|3|2|7|CHI|CHI|26|10:04:00|84|C|7|7
2018091700_2496|2018091700|2496|2|43|29.44|49.27|5.32|tackle|(9:27) (Shotgun) M.Trubisky pass short right to A.Robinson II to CHI 39 for 6 yards (SL.Griffin).|3|1|10|CHI|CHI|33|09:27:00|77|C|6|6
2018091700_2541|2018091700|2541|2|52.21|25.56|48.39|25.09|qb_sack|(8:13) (Shotgun) M.Trubisky sacked at CHI 40 for -3 yards (F.Clark).|3|1|10|CHI|CHI|43|08:13:00|67|S|-3|-3
2018091700_2560|2018091700|2560|2|48.2|26.27|65.67|-6.34|pass_outcome_incomplete|(7:33) (Shotgun) M.Trubisky pass incomplete short right to T.Gabriel (SL.Griffin).|3|2|13|CHI|CHI|40|07:33:00|70|I|0|0
2018091700_2582|2018091700|2582|2|48.61|26.81|58.72|19.13|tackle|(7:24) (Shotgun) M.Trubisky pass short middle to J.Howard to 50 for 10 yards (B.McDougald).|3|3|13|CHI|CHI|40|07:24:00|70|C|10|10
2018091700_2778|2018091700|2778|2|43.9|23.35|49.55|44.71|tackle|(5:30) M.Trubisky pass short left to T.Gabriel to CHI 40 for 6 yards (B.McDougald).|3|1|10|CHI|CHI|34|05:30:00|76|C|6|6
2018091700_2854|2018091700|2854|2|55.53|29.44|64.54|1.08|tackle|(3:46) (Shotgun) M.Trubisky pass short right to T.Burton to SEA 45 for 9 yards (J.Coleman).|3|2|9|CHI|CHI|46|03:46:00|64|C|9|9
2018091700_2941|2018091700|2941|2|78.78|23.37|85.27|36.25|tackle|(:57) (Shotgun) M.Trubisky pass short left to J.Bellamy to SEA 25 for 6 yards (E.Thomas).|3|2|6|CHI|SEA|31|00:57:00|41|C|6|6
2018091700_3024|2018091700|3024|2|99.19|23.92|112.8|49.5|pass_outcome_touchdown|(14:20) (Shotgun) M.Trubisky pass short left to A.Miller for 10 yards, TOUCHDOWN.|4|1|10|CHI|SEA|10|14:20:00|100|C|10|10
2018091700_331|2018091700|331|2|35.8|23.1|42.5|1.5|pass_outcome_incomplete|(9:38) (Shotgun) M.Trubisky pass incomplete short right to J.Howard.|1|1|10|CHI|CHI|27|09:38:00|83|I|0|0
2018091700_3423|2018091700|3423|2|24.23|23.9|32.32|48.27|pass_outcome_incomplete|(10:08) (Shotgun) M.Trubisky pass incomplete short left to A.Robinson II (A.Calitro).|4|1|10|CHI|CHI|15|10:08:00|25|I|0|0
2018091700_3468|2018091700|3468|2|19.05|24.1|24.39|26.08|tackle|(10:04) (Shotgun) M.Trubisky pass short middle to T.Burton to CHI 15 for 5 yards (A.Calitro).|4|2|15|CHI|CHI|10|10:04:00|20|C|5|5
2018091700_353|2018091700|353|2|35.65|23.21|41.45|23.52|tackle|(9:34) (Shotgun) M.Trubisky pass short middle to A.Robinson II to CHI 33 for 6 yards (A.Calitro).|1|2|10|CHI|CHI|27|09:34:00|83|C|6|6
2018091700_381|2018091700|381|2|42.15|23.48|55.69|31.03|tackle|(8:55) (Shotgun) M.Trubisky pass short left to A.Robinson II to CHI 46 for 13 yards (E.Thomas).|1|3|4|CHI|CHI|33|08:55:00|77|C|13|13
2018091700_3848|2018091700|3848|2|66.87|23.92|71.01|9.45|tackle|(3:01) (Shotgun) M.Trubisky pass short right to J.Howard to SEA 38 for 5 yards (R.Green).|4|3|12|CHI|SEA|43|03:01:00|67|C|5|5
2018091700_426|2018091700|426|2|58.48|29.27|59.13|5.49|tackle|(7:39) (Shotgun) M.Trubisky pass short right to A.Miller to 50 for 1 yard (B.McDougald).|1|2|7|CHI|CHI|49|07:39:00|61|C|1|1
2018091700_471|2018091700|471|2|75.77|23.14|85.3|10.12|tackle|(6:16) (No Huddle, Shotgun) M.Trubisky pass short right to T.Gabriel to SEA 24 for 9 yards (SL.Griffin).|1|1|10|CHI|SEA|33|06:16:00|43|C|9|9
2018091700_482|2018091700|482|2|84.99|23.1|102.98|0.12|tackle|(5:43) (Shotgun) M.Trubisky pass short right to J.Howard pushed ob at SEA 6 for 18 yards (B.McDougald).|1|2|1|CHI|SEA|24|05:43:00|34|C|18|18
2018091700_517|2018091700|517|2|103.83|23.26|118.75|49.83|pass_outcome_incomplete|(5:05) (Shotgun) M.Trubisky pass incomplete short left to A.Robinson II. PENALTY on SEA-A.King, Defensive Holding, 3 yards, enforced at SEA 6 - No Play.|1|1|6|CHI|SEA|6|NA|NA|I|0|3
2018091700_550|2018091700|550|2|106.77|23.17|106.36|30.41|touchdown|(4:59) (Shotgun) M.Trubisky pass short middle to T.Burton for 3 yards, TOUCHDOWN.|1|1|3|CHI|SEA|3|04:59:00|13|C|3|3
2018091700_777|2018091700|777|2|49.05|29.55|76.75|38.34|pass_outcome_incomplete|(3:15) (Shotgun) M.Trubisky pass incomplete deep left to T.Gabriel.|1|1|10|CHI|CHI|39|03:15:00|71|I|0|0
2018091700_799|2018091700|799|2|48.95|29.5|57.57|13.75|tackle|(3:11) (Shotgun) M.Trubisky pass short right to A.Robinson II to CHI 48 for 9 yards (A.Calitro).|1|2|10|CHI|CHI|39|03:11:00|71|C|9|9
2018092311_1004|2018092311|1004|3|48.83|29.42|59.81|15.46|tackle|(13:13) (Shotgun) M.Trubisky pass short right to T.Gabriel to ARZ 49 for 10 yards (P.Peterson).|2|2|22|CHI|CHI|41|13:13:00|69|C|10|10
2018092311_1028|2018092311|1028|3|60.59|23.48|119.89|14.72|pass_outcome_incomplete|(12:29) (Shotgun) M.Trubisky pass incomplete deep right to T.Gabriel (A.Bethea).|2|3|12|CHI|ARI|49|12:29:00|59|I|0|0
2018092311_1281|2018092311|1281|3|36.67|23.37|63.62|-0.77|out_of_bounds|(7:21) (Shotgun) M.Trubisky pass deep right to T.Burton pushed ob at ARZ 48 for 25 yards (T.Boston) [R.Gunter].|2|1|10|CHI|CHI|27|07:21:00|83|C|25|25
2018092311_1310|2018092311|1310|3|60.92|23.37|66.49|18.23|tackle|(6:53) (Shotgun) M.Trubisky pass short right to T.Gabriel to ARZ 43 for 5 yards (A.Bethea).|2|1|10|CHI|ARI|48|06:53:00|58|C|5|5
2018092311_1361|2018092311|1361|3|60.51|23.06|69.59|39.99|tackle|(6:00) (Shotgun) M.Trubisky pass short left to T.Gabriel to ARZ 39 for 9 yards (P.Peterson).|2|2|10|CHI|ARI|48|06:00:00|58|C|9|9
2018092311_1406|2018092311|1406|3|72.77|28.12|118.42|43.77|pass_outcome_incomplete|(4:40) (Shotgun) M.Trubisky pass incomplete deep left to T.Gabriel.|2|1|10|CHI|ARI|36|04:40:00|46|I|0|0
2018092311_1428|2018092311|1428|3|72.67|27.95|90.9|-0.94|out_of_bounds|(4:34) (Shotgun) M.Trubisky pass short right to A.Miller pushed ob at ARZ 21 for 15 yards (A.Bethea).|2|2|10|CHI|ARI|36|04:34:00|46|C|15|15
2018092311_1452|2018092311|1452|3|88.11|23.48|109.02|37.22|pass_outcome_incomplete|(4:00) (Shotgun) M.Trubisky pass incomplete deep middle to A.Robinson II (J.Taylor) [M.Golden]. PENALTY on ARZ-M.Golden, Roughing the Passer, 10 yards, enforced at ARZ 21 - No Play.|2|1|10|CHI|ARI|21|NA|NA|I|0|10
2018092311_1506|2018092311|1506|3|102.07|29.28|117.19|59.27|pass_outcome_incomplete|(3:10) (Shotgun) M.Trubisky pass incomplete short left to A.Robinson II [R.Nkemdiche]. PENALTY on ARZ-R.Nkemdiche, Roughing the Passer, 3 yards, enforced at ARZ 7 - No Play.|2|2|6|CHI|ARI|7|NA|NA|I|0|3
2018092311_1607|2018092311|1607|3|102.86|28.35|107.83|52.46|tackle|(2:25) (Shotgun) M.Trubisky pass short left to T.Cohen to ARZ 2 for 5 yards (J.Taylor).|2|2|7|CHI|ARI|7|02:25:00|17|C|5|5
2018092311_1648|2018092311|1648|3|107.95|29.39|115.61|57.34|pass_outcome_incomplete|(2:00) M.Trubisky pass incomplete short left to A.Robinson II.|2|3|2|CHI|ARI|2|02:00:00|12|I|0|0
2018092311_1872|2018092311|1872|3|45.9|29.48|54.51|37.58|tackle|(1:25) (Shotgun) M.Trubisky pass short left to T.Gabriel to CHI 44 for 7 yards (B.Baker).|2|1|10|CHI|CHI|37|01:25:00|73|C|7|7
2018092311_1896|2018092311|1896|3|52.74|29.53|43.94|41.52|tackle|(1:06) (No Huddle, Shotgun) M.Trubisky pass short left intended for B.Cunningham INTERCEPTED by T.Boston (C.Jones) at CHI 34. T.Boston to CHI 34 for no gain (B.Cunningham).|2|2|3|CHI|CHI|44|01:06:00|66|IN|0|0
2018092311_2116|2018092311|2116|3|38.06|28.76|39.11|2|tackle|(14:24) (Shotgun) M.Trubisky pass short right to T.Gabriel to CHI 29 for no gain (B.Baker; J.Bynes).|3|2|6|CHI|CHI|29|14:24:00|81|C|0|0
2018092311_2140|2018092311|2140|3|37.43|23.38|31.57|24.39|qb_sack|(13:45) (Shotgun) M.Trubisky sacked at CHI 24 for -5 yards (C.Jones).|3|3|6|CHI|CHI|29|13:45:00|81|S|-5|-5
2018092311_2345|2018092311|2345|3|41.93|23.41|80.82|1.98|tackle|(10:31) (Shotgun) M.Trubisky pass deep right to A.Robinson II to ARZ 28 for 39 yards (T.Boston).|3|2|10|CHI|CHI|33|10:31:00|77|C|39|39
2018092311_2390|2018092311|2390|3|75.77|29.49|86.95|35.37|tackle|(8:57) (Shotgun) M.Trubisky pass short middle to A.Miller to ARZ 23 for 10 yards (B.Baker).|3|2|15|CHI|ARI|33|08:57:00|43|C|10|10
2018092311_2414|2018092311|2414|3|86.78|29.47|89.09|52.09|tackle|(8:09) (Shotgun) M.Trubisky pass short left to T.Burton to ARZ 19 for 4 yards (A.Bethea).|3|3|5|CHI|ARI|23|08:09:00|33|C|4|4
2018092311_2455|2018092311|2455|3|90.69|29.38|91.51|33.75|tackle|(7:26) (Shotgun) M.Trubisky pass short middle to A.Robinson II to ARZ 18 for 1 yard (G.Hodges).|3|4|1|CHI|ARI|19|07:26:00|29|C|1|1
2018092311_2479|2018092311|2479|3|92.02|29.41|94.95|13.39|pass_outcome_incomplete|(7:07) M.Trubisky pass incomplete short right to A.Robinson II (T.Boston).|3|1|10|CHI|ARI|18|07:07:00|28|I|0|0
2018092311_2760|2018092311|2760|3|65.72|23.5|75.89|1.08|pass_outcome_incomplete|(3:07) (Shotgun) M.Trubisky pass incomplete short right to A.Robinson II.|3|2|9|CHI|ARI|43|03:07:00|53|I|0|0
2018092311_2815|2018092311|2815|3|71.35|23.37|83.36|20.64|tackle|(3:00) (Shotgun) M.Trubisky pass short middle to J.Howard to ARZ 25 for 13 yards (J.Bynes).|3|3|4|CHI|ARI|38|03:00:00|48|C|13|13
2018092311_2864|2018092311|2864|3|87.06|29.55|116.72|-0.75|pass_outcome_incomplete|(1:40) (Shotgun) M.Trubisky pass incomplete deep right to A.Miller. CHI-A.Miller was injured during the play.|3|2|7|CHI|ARI|22|01:40:00|32|I|0|0
2018092311_2912|2018092311|2912|3|81.79|29.47|87.3|53.24|tackle|(1:34) (Shotgun) M.Trubisky pass short left to T.Cohen to ARZ 23 for 4 yards (T.Boston; J.Bynes).|3|3|12|CHI|ARI|27|01:34:00|37|C|4|4
2018092311_317|2018092311|317|3|74.5|29.91|83.39|8.54|tackle|(8:50) (Shotgun) M.Trubisky pass short middle to A.Miller to ARZ 27 for 7 yards (B.Benwikere). CHI-A.Miller was injured during the play.|1|3|6|CHI|ARI|34|08:50:00|76|C|7|7
2018092311_3198|2018092311|3198|3|25.35|29.99|67.12|48.88|pass_outcome_incomplete|(11:23) (Shotgun) M.Trubisky pass incomplete deep left to A.Robinson II (B.Benwikere).|4|1|10|CHI|CHI|16|11:23:00|26|I|0|0
2018092311_3220|2018092311|3220|3|25.78|29.85|37.69|39.5|tackle|(11:15) (Shotgun) M.Trubisky pass short middle to T.Burton to CHI 28 for 12 yards (B.Benwikere).|4|2|10|CHI|CHI|16|11:15:00|26|C|12|12
2018092311_3307|2018092311|3307|3|50.45|27.05|73.13|25.74|pass_outcome_incomplete|(8:45) (Shotgun) M.Trubisky pass incomplete deep middle to T.Gabriel [G.Hodges]. PENALTY on ARZ-T.Boston, Unnecessary Roughness, 15 yards, enforced at CHI 41.|4|2|12|CHI|CHI|41|08:45:00|51|I|0|15
2018092311_3340|2018092311|3340|3|65.42|26.94|67.81|2.19|tackle|(8:39) (Shotgun) M.Trubisky pass short right to J.Bellamy to ARZ 42 for 2 yards (B.Mayowa).|4|1|10|CHI|ARI|44|08:39:00|66|C|2|2
2018092311_3457|2018092311|3457|3|78.36|23.83|84.64|14.73|tackle|(5:18) (Shotgun) M.Trubisky pass short right to T.Cohen to ARZ 25 for 6 yards (H.Reddick; C.Jones).|4|3|7|CHI|ARI|31|05:18:00|79|C|6|6
2018092311_365|2018092311|365|3|84.29|25.88|92.25|0.29|out_of_bounds|(7:35) (Shotgun) M.Trubisky pass short right to J.Howard pushed ob at ARZ 17 for 7 yards (J.Taylor).|1|2|7|CHI|ARI|24|07:35:00|86|C|7|7
2018092311_441|2018092311|441|3|95.83|29.82|80.47|28.04|qb_sack|(5:44) (Shotgun) M.Trubisky sacked at ARZ 28 for -15 yards (sack split by B.Benwikere and B.Baker).|1|3|6|CHI|ARI|13|05:44:00|97|S|-15|-15
2018092311_597|2018092311|597|3|19.99|23.82|32.22|0.78|out_of_bounds|(3:12) M.Trubisky pass short right to T.Burton pushed ob at CHI 24 for 14 yards (A.Bethea).|1|1|10|CHI|CHI|10|03:12:00|20|C|14|14
